owner/repo,ageRepoDays,stargazersCount,watchersCount,language,forksCount,openIssuesCount,subscribersCount,has_wiki,acceptanceRepo,followers,followers_D,followers_boolean,following,ageUser,totalPullDeveloper,requester_experience,mergedPullUser,closedPullUser,rejectUser,acceptanceDeveloper,rate_acceptance_developer,first_Pull,watchRepo,location,idPull,numberPull,login,state,title,createdDate,mesAno,closedDate,mergedDate,lifetimeMinutes,life_time,closedBy,mergedBy,status,commitHeadSha,commitBaseSha,assignee,comments,comments_D,commitsPull,commitsPull_D,commitsbyFilesPull,authorMoreCommits,participants,additionsLines,deletionsLines,totalLines,total_lines_D,changedFiles,changedFiles_D,dirFinal,files,typeDeveloper,requesterFollowsCoreTeam,coreTeamFollowsRequester,requester_experience_project
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,18,more than 10,has followers,38,879,0,no experience,0,0,0,0,First_Pull,True,false,Boston,26042186,1926,essamjoubori,closed,Fix grammatical errors in README.md,2014-12-15T00:49:16Z,122014,15/12/2014 13:11,,742,Very Fast,markelog,,closed,57e29e7ffa49220d46e0a9a7fad533d028225220,ce308e25e57a0a040cd1ea05f00bf1cc23c1bd8a,,0,no comments,1,1 commit,13,fhemberger,essamjoubori|markelog,2,2,4,some lines,1,1 file,root,README.md,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,75,more than 10,has followers,56,1050,0,no experience,0,0,0,0,First_Pull,True,false,San Francisco,26047220,1927,bcbcb,closed,Improved README,2014-12-15T04:50:38Z,122014,15/12/2014 13:11,,500,Very Fast,markelog,,closed,44969779f7d727846f1e370fb4f7bd5da8830261,ce308e25e57a0a040cd1ea05f00bf1cc23c1bd8a,,0,no comments,1,1 commit,13,fhemberger,bcbcb|markelog,4,4,8,some lines,1,1 file,root,README.md,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,5,4 to 6 followers,has followers,4,821,0,no experience,0,0,0,0,First_Pull,True,false,,26049618,1928,namlede,closed,Fixed typo,2014-12-15T06:29:36Z,122014,15/12/2014 13:11,,401,Very Fast,markelog,,closed,408662b0626fc8b4368a25e792f8bf1a427304d1,ce308e25e57a0a040cd1ea05f00bf1cc23c1bd8a,,0,no comments,1,1 commit,9,fhemberger,namlede|markelog,1,1,2,some lines,1,1 file,test/unit,test/unit/support.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,1,1 to 3 followers,has followers,0,1809,1,little experience,0,1,100,0,First_Pull,True,true,,26076159,1931,FarSeeing,closed,Data: shave off a couple of bytes.,2014-12-15T15:21:20Z,122014,23/12/2014 22:47,,11965,Slow,markelog,,closed,d36e2ec189c9d7da8942d21c7ad5d6de6dd8417d,31b63fc23674ede657f019783ad7b942bb83f9c3,,1,has comments,1,1 commit,3,fhemberger,FarSeeing|gibson042|rwaldron|markelog,3,4,7,some lines,1,1 file,src,src/data.js,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,2,1 to 3 followers,has followers,9,960,0,no experience,0,0,0,0,First_Pull,True,true,,26084448,1932,alexsunxl,closed,???jq??,2014-12-15T17:06:27Z,122014,15/12/2014 17:11,,5,Very Fast,markelog,,closed,e70390496d55146ad5528d40ad49efa49b6904b2,31b63fc23674ede657f019783ad7b942bb83f9c3,,0,no comments,4,some commits,21,fhemberger,alexsunxl|markelog,11,22,33,many lines,4,some files,src/css|src/ajax|src/data|src,src/css/support.js|src/ajax/xhr.js|src/data/Data.js|src/ajax.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,21,more than 10,has followers,6,2329,0,no experience,0,0,0,0,First_Pull,True,false,Vilnius  Lithuania,26236761,1944,denis-sokolov,closed,Core: add location global for non-browsers  fix #1788,2014-12-17T16:29:35Z,122014,17/12/2014 16:54,,25,Very Fast,mzgol,,closed,a3152d8adf3d3a72faf143819df6f7f83f8655ec,d6c97abb744bfe8c67ab9158aecdb5bb1c05e47b,,4,has comments,1,1 commit,0,,denis-sokolov|mzgol|dmethvin|timmywil,3,0,3,some lines,1,1 file,src,src/core.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,21,more than 10,has followers,6,2329,1,little experience,0,1,100,0,First_Pull,True,false,Vilnius  Lithuania,26259119,1947,denis-sokolov,closed,Readme: note about 2.1.2 broken on Node,2014-12-17T21:41:54Z,122014,18/12/2014 16:30,,1128,Very Fast,mzgol,,closed,f1c0e6c6d42b13b7d3dd96fa547b0302240354c8,d6c97abb744bfe8c67ab9158aecdb5bb1c05e47b,,0,no comments,1,1 commit,2,fishedee,denis-sokolov|dmethvin|mzgol,1,1,2,some lines,1,1 file,root,README.md,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,42,more than 10,has followers,88,2284,0,no experience,0,0,0,0,First_Pull,True,false,London,26259296,1948,normanzb,closed,Event: Add reference to data module ...,2014-12-17T21:44:26Z,122014,31/12/2014 14:34,,19730,Very Slow,markelog,,closed,3a7de79d45b2d6d58aa8be6bad373014e386772f,73c1ceaf4280bd0318679c1ad832181f3f449814,,0,no comments,1,1 commit,1,mzgol,normanzb|markelog,1,1,2,some lines,1,1 file,src,src/event.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,14,more than 10,has followers,0,2308,0,no experience,0,0,0,0,First_Pull,True,false,,26326875,1952,victor-homyakov,closed,Data: speed up `$.fn.data()` for camel-cased key,2014-12-18T19:52:46Z,122014,23/12/2014 22:36,,7363,Medium,markelog,,closed,1fc294b3cf2b9e829cfbba5a1b9d444df8f96a3c,d6c97abb744bfe8c67ab9158aecdb5bb1c05e47b,,2,has comments,1,1 commit,1,,victor-homyakov|rwaldron|mzgol|gibson042|markelog,3,2,5,some lines,1,1 file,src,src/data.js,core,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,14,more than 10,has followers,0,2308,1,little experience,0,1,100,0,First_Pull,True,false,,26368204,1954,victor-homyakov,closed,Tests: fix cross-domain detection test for non-default port,2014-12-19T12:23:51Z,122014,07/01/2015 02:25,,26761,Very Slow,dmethvin,,closed,ac782bfd34ab26666019bcbeb624f3d74ae1cf2e,76df9e4e389d80bff410a9e5f08b848de1d21a2f,,0,no comments,1,1 commit,0,,victor-homyakov|dmethvin,1,1,2,some lines,1,1 file,test/unit,test/unit/ajax.js,core,false,false,some contributions
